host_time_sec,elapsed_sec,state_stamp_sec,raw_state_stamp_sec,target_phi_deg,target_phi_rad,avg_phi_deg,target_pitch_deg,body_pitch_deg,body_roll,body_pitch,body_roll_rate,body_pitch_rate,left_hip_absolute,left_calf_absolute,left_leg_length,left_phi,left_phi_rate,left_phi_error_to_target_deg,left_abs_phi_error_to_target_deg,left_near_target_2deg,left_near_target_5deg,right_hip_absolute,right_calf_absolute,right_leg_length,right_phi,right_phi_rate,right_phi_error_to_target_deg,right_abs_phi_error_to_target_deg,right_near_target_2deg,right_near_target_5deg,left_phi_raw,left_phi_rate_raw,right_phi_raw,right_phi_rate_raw,left_motion_phase,right_motion_phase,left_right_hip_absolute_diff_deg,left_right_calf_absolute_diff_deg,left_right_phi_diff_deg,left_right_phi_rate_diff_deg_s,left_right_phi_rate_abs_ratio,left_right_leg_length_diff_mm,raw_left_hip_pos,raw_left_hip_vel,raw_left_hip_effort,raw_left_knee_pos,raw_left_knee_vel,raw_left_knee_effort,raw_right_hip_pos,raw_right_hip_vel,raw_right_hip_effort,raw_right_knee_pos,raw_right_knee_vel,raw_right_knee_effort,left_right_hip_vel_abs_ratio,left_right_knee_vel_abs_ratio,left_hip_vel_sign_match,left_knee_vel_sign_match,right_hip_vel_sign_match,right_knee_vel_sign_match,cmd_left_hip,cmd_left_knee,cmd_right_hip,cmd_right_knee,left_right_cmd_hip_diff_nm,left_right_cmd_knee_diff_nm,lqr_left_hip_torque,lqr_right_hip_torque,left_leg_length_force,right_leg_length_force,left_right_lqr_hip_diff_nm,vmc_left_hip_torque,vmc_left_knee_torque,vmc_right_hip_torque,vmc_right_knee_torque,left_right_vmc_hip_diff_nm,left_right_vmc_knee_diff_nm,vmc_column_left_hip,vmc_column_left_knee,vmc_column_right_hip,vmc_column_right_knee
1783424401.2276716,0.21774005889892578,1783424400.5139482,1783424400.5089502,70.0,1.2217304763960306,69.75302269100344,0.0,-0.060425196153328475,-0.004793721251189709,-0.0010546186240389943,0.0,0.0,2.1187632083892822,0.451322078704834,0.27424250491788393,1.1632446117823736,0.03881410111008874,-3.350993203536076,3.350993203536076,0.0,1.0,2.2237958908081055,0.5620700120925903,0.27508153645636096,1.271825280420271,-0.004644465810948599,2.870220846123946,2.870220846123946,0.0,1.0,1.1630145379323795,0.04762668334406796,1.271825280420271,-0.015455160888871326,near_static,near_static,-6.0179294135364945,-6.345389172914416,-6.221214049660022,2.4899924682622885,8.35706466362409,-0.8390315384770308,2.1181559562683105,0.07350325584411621,0.0,0.451322078704834,0.06711167097091675,0.0,2.2237958908081055,-0.007989483885467052,0.0,0.5620700120925903,-0.009587381035089493,0.0,9.200000512901633,7.000000388561828,1.0,1.0,1.0,1.0,0.5450832697030894,-1.2283033202053595,-0.5006986988095015,-1.9117511136620868,1.0457819685125909,0.6834477934567273,0.545083269703089,-0.500698698809502,-10.662355087552154,-10.920040107057801,1.0457819685125909,0.5450832697030894,-1.2283033202053595,-0.5006986988095015,-1.9117511136620868,1.0457819685125909,0.6834477934567273,0.545083269703089,0.3385422883413897,-0.5006986988095019,-0.3106457130217857
1783424401.2297416,0.21981000900268555,1783424400.5189548,1783424400.5139482,70.0,1.2217304763960306,69.75961382129393,0.0,-0.060425196153328475,-0.004793721251189709,-0.0010546186240389943,-0.0021305233240127563,0.0,2.1187632083892822,0.45183682441711426,0.2743181590308737,1.1635643352834313,0.04883286867367781,-3.332674396314324,3.332674396314324,0.0,1.0,2.2237958908081055,0.5620383024215698,0.2750768871253442,1.2718056069006407,-0.0043585014224588004,2.869093636480963,2.869093636480963,0.0,1.0,1.1632446117823736,0.04603127596477476,1.271825280420271,0.0,near_static,near_static,-6.0179294135364945,-6.314079585759077,-6.201768032795287,3.0476410130270035,11.204050186159922,-0.7587280944705288,2.1187632083892822,0.06870956718921661,0.0,0.451322078704834,0.06711167097091675,0.0,2.2237958908081055,-0.0015978968003764749,0.0,0.5620700120925903,-0.009587381035089493,0.0,43.000002987069124,7.000000388561828,1.0,1.0,1.0,1.0,0.5343626995173769,-1.2138100270598609,-0.5062749198092336,-1.9157454530161415,1.0406376193266105,0.7019354259562807,0.5343626995173765,-0.5062749198092336,-10.515900096054402,-10.923687034362896,1.04063761932661,0.5343626995173769,-1.2138100270598609,-0.5062749198092336,-1.9157454530161415,1.0406376193266105,0.7019354259562807,0.5343626995173765,0.33192603775126994,-0.5062749198092334,-0.31410533684854486
1783424401.2369127,0.22698116302490234,1783424400.5239444,1783424400.5239444,70.0,1.2217304763960306,69.77884595963378,0.0,-0.060425196153328475,-0.004793721251189709,-0.0010546186240389943,0.0,-0.0010652616620063782,2.1196768283843994,0.45183682441711426,0.27418386910545595,1.1639104557200572,0.057048262931583237,-3.312843156092431,3.312843156092431,0.0,1.0,2.2238621711730957,0.5620383024215698,0.2750671687644332,1.2718307647550464,-0.0005981908450595468,2.870535075360015,2.870535075360015,0.0,1.0,1.1639104557200572,0.06937135431844138,1.2718307647550464,0.005042275021039332,near_static,near_static,-5.969380428916044,-6.314079585759077,-6.183378231452446,3.302898505297617,95.36799735860949,-0.8832996589772657,2.1196768283843994,0.10865698754787445,0.0,0.45183682441711426,0.05273059755563736,0.0,2.2238621711730957,0.01438107155263424,0.0,0.5620383024215698,-0.004793690983206034,0.0,7.5555557282497015,10.999999320016867,1.0,1.0,0.0,0.0,0.5158400449398992,-1.2472802424711311,-0.5065067230176499,-1.9151939824403368,1.022346767957549,0.6679137399692057,0.5158400449398988,-0.5065067230176499,-10.667505898014351,-10.918777924030767,1.0223467679575486,0.5158400449398992,-1.2472802424711311,-0.5065067230176499,-1.9151939824403368,1.022346767957549,0.6679137399692057,0.5158400449398989,0.32038599126103495,-0.5065067230176498,-0.31425121513675086
1783424401.2461936,0.23626208305358887,1783424400.5289989,1783424400.5289989,70.0,1.2217304763960306,69.77884595963378,0.0,-0.060425196153328475,-0.004793721251189709,-0.0010546186240389943,-0.0010652616620063782,0.0,2.1196768283843994,0.4525185823440552,0.2742840835076073,1.1643339432760016,0.06774125528920974,-3.288579106460509,3.288579106460509,0.0,1.0,2.2238621711730957,0.562179684638977,0.2750878985932492,1.2719184822345289,0.006582527407272463,2.875560916723884,2.875560916723884,0.0,1.0,1.1643339432760016,0.08378074382564951,1.2719184822345289,0.017353604785770475,near_static,near_static,-5.969380428916044,-6.28311833825141,-6.164140023184394,3.5041369880240785,10.291070754125279,-0.8038150856419235,2.1196768283843994,0.10865698754787445,0.0,0.4525185823440552,0.07510115206241608,0.0,2.2238621711730957,0.01438107155263424,0.0,0.562179684638977,0.01757686585187912,0.0,7.5555557282497015,4.272727157122105,1.0,1.0,1.0,1.0,0.49902994795969424,-1.22577869121116,-0.5129515211110955,-1.9175006350044959,1.0119814690707898,0.691721943793336,0.4990299479596943,-0.5129515211110955,-10.446360056526288,-10.906889751666188,1.0119814690707898,0.49902994795969424,-1.22577869121116,-0.5129515211110955,-1.9175006350044959,1.0119814690707898,0.691721943793336,0.4990299479596942,0.31000452340232504,-0.5129515211110955,-0.3182541167959631
1783424401.2482808,0.23834919929504395,1783424400.533964,1783424400.533964,70.0,1.2217304763960306,69.80819598003703,0.0,-0.060425196153328475,-0.004793721251189709,-0.0010546186240389943,0.0,0.0021305233240127563,2.1209468841552734,0.4525185823440552,0.2740973686820875,1.1648150299736804,0.0794024743820895,-3.26101486910363,3.26101486910363,0.0,1.0,2.223947048187256,0.562179684638977,0.2750754538597907,1.2719506994845513,0.006545030310162368,2.877406829177688,2.877406829177688,0.0,1.0,1.1648150299736804,0.09689430302140914,1.2719506994845513,0.006488784664497226,near_static,near_static,-5.901474688187777,-6.28311833825141,-6.138421698281318,4.174424051431863,12.131719888111517,-0.9780851777032029,2.1209468841552734,0.12783174216747284,0.0,0.4525185823440552,0.07510115206241608,0.0,2.223947048187256,0.01438107155263424,0.0,0.562179684638977,0.01757686585187912,0.0,8.888888543500597,4.272727157122105,1.0,1.0,1.0,1.0,0.4788430943333193,-1.2681908416157401,-0.5245938160924488,-1.9303208351798133,1.003436910425768,0.6621299935640732,0.47884309433331923,-0.5245938160924493,-10.652446591114895,-10.945809280681562,1.0034369104257685,0.4788430943333193,-1.2681908416157401,-0.5245938160924488,-1.9303208351798133,1.003436910425768,0.6621299935640732,0.47884309433331923,0.29742175593629927,-0.5245938160924492,-0.3254679058387664
1783424401.2515113,0.24157977104187012,1783424400.5389733,1783424400.533964,70.0,1.2217304763960306,69.80819598003703,0.0,-0.060425196153328475,-0.004793721251189709,-0.0010546186240389943,-0.0010652616620063782,0.0,2.1209468841552734,0.45356225967407227,0.27425081053569167,1.1654633862508914,0.09941252507342885,-3.2238667907986227,3.2238667907986227,0.0,1.0,2.223947048187256,0.5622231960296631,0.275081833591843,1.2719776951252348,0.006082611422050346,2.8789535654541063,2.8789535654541063,0.0,1.0,1.1648150299736804,0.09689430302140914,1.2719506994845513,0.006488784664497226,near_static,near_static,-5.901474688187777,-6.2258130511150025,-6.102820356252729,5.347410154544395,16.34372445904469,-0.8310230561513476,2.1209468841552734,0.12783174216747284,0.0,0.4525185823440552,0.07510115206241608,0.0,2.223947048187256,0.01438107155263424,0.0,0.562179684638977,0.01757686585187912,0.0,8.888888543500597,4.272727157122105,1.0,1.0,1.0,1.0,0.4788430943333193,-1.2681908416157401,-0.5245938160924488,-1.9303208351798133,1.003436910425768,0.6621299935640732,0.45649584305212826,-0.5240488931698871,-10.348787312982676,-10.921995112694116,0.9805447362220154,0.456495843052128,-1.2382145040384034,-0.5240488931698875,-1.9265569323658776,0.9805447362220154,0.6883424283274742,0.45649584305212826,0.283616660904727,-0.5240488931698872,-0.3251355354221612
1783424401.2574697,0.24753808975219727,1783424400.5439734,1783424400.5389733,70.0,1.2217304763960306,69.82754338732774,0.0,-0.060425196153328475,-0.004793721251189709,-0.0010546186240389943,-0.0010652616620063782,0.0,2.1217122077941895,0.45356225967407227,0.27413829922319427,1.1657532871550471,0.08283905656425353,-3.2072566925134742,3.2072566925134742,0.0,1.0,2.2240591049194336,0.5622231960296631,0.2750654033481858,1.2720202283444992,0.0070521465155138595,2.881390539407061,2.881390539407061,0.0,1.0,1.1654633862508914,0.12942760111043786,1.2719776951252348,0.005388983089882313,near_static,near_static,-5.8640452515361075,-6.2258130511150025,-6.088647231920535,4.342270088130391,11.746644285114856,-0.927104124991529,2.1209468841552734,0.12783174216747284,0.0,0.45356225967407227,0.11185276508331299,0.0,2.223947048187256,0.01438107155263424,0.0,0.5622231960296631,0.015978967770934105,0.0,8.888888543500597,6.999999417157236,1.0,1.0,1.0,1.0,0.41856285397149806,-1.3069744191877888,-0.5244135665856913,-1.928553456402619,0.9429764205571893,0.6215790372148302,0.41856285397149845,-0.5244135665856912,-10.660601281413893,-10.934298864637952,0.9429764205571896,0.41856285397149806,-1.3069744191877888,-0.5244135665856913,-1.928553456402619,0.9429764205571893,0.6215790372148302,0.41856285397149845,0.259992451573189,-0.5244135665856912,-0.32535886030292865
1783424401.2615747,0.25164294242858887,1783424400.5489702,1783424400.5489702,70.0,1.2217304763960306,69.85079050757507,0.0,-0.060425196153328475,-0.004793721251189709,-0.0010546186240389943,0.0,0.0,2.1217122077941895,0.4542217254638672,0.2742352504755261,1.1661629550192159,0.08249800520211542,-3.183784452894467,3.183784452894467,0.0,1.0,2.2240591049194336,0.5623350143432617,0.27508179863474136,1.2720896039367562,0.009784915623893439,2.8853654680446046,2.8853654680446046,0.0,1.0,1.1661629550192159,0.08198642815890823,1.2720896039367562,0.013884069286462804,near_static,near_static,-5.8640452515361075,-6.194435162067964,-6.069149920939071,4.166153148188811,8.431141194581839,-0.8465481592152546,2.1217122077941895,0.08468853682279587,0.0,0.4542217254638672,0.06711167097091675,0.0,2.2240591049194336,0.02077265828847885,0.0,0.5623350143432617,0.02077265828847885,0.0,4.076923408005355,3.2307695066711286,1.0,1.0,1.0,1.0,0.44093393514470614,-1.2652029660147097,-0.526312533271236,-1.9258556477273618,0.9672464684159421,0.6606526817126521,0.43743410954388195,-0.5312795886470515,-10.655868499205699,-10.939038584514147,0.9687136981909334,0.4374341095438814,-1.2946235678230513,-0.5312795886470518,-1.9335084288319593,0.9687136981909332,0.638884861008908,0.43743410954388184,0.2717204425165402,-0.5312795886470514,-0.32961872271380915
1783424401.2664845,0.25655293464660645,1783424400.55395,1783424400.55395,70.0,1.2217304763960306,69.85779461030764,0.0,-0.060425196153328475,-0.004793721251189709,-0.0010546186240389943,-0.0010652616620063782,-0.0010652616620063782,2.1223344802856445,0.4542217254638672,0.2741437679362717,1.1663986660630778,0.06843108527589487,-3.1702792048965516,3.1702792048965516,0.0,1.0,2.2240822315216064,0.5623350143432617,0.27507840777837117,1.2720983822005572,0.006576018446979798,2.8858684255118523,2.8858684255118523,0.0,1.0,1.1663986660630778,0.04733070538656402,1.2720983822005572,0.0017626726816093376,near_static,near_static,-5.829716720767623,-6.194435162067964,-6.056147630408404,3.54403427079649,10.406157742352983,-0.9346398420994606,2.1223344802856445,0.060720086097717285,0.0,0.4542217254638672,0.06711167097091675,0.0,2.2240822315216064,0.0031957949977368116,0.0,0.5623350143432617,0.02077265828847885,0.0,18.99999409871968,3.2307695066711286,1.0,1.0,1.0,1.0,0.4374341095438814,-1.2946235678230513,-0.5312795886470518,-1.9335084288319593,0.9687136981909332,0.638884861008908,0.4561260979364054,-0.5267974517524259,-10.495728982221038,-10.931030990846008,0.9829235496888313,0.456126097936405,-1.259857704396924,-0.5267974517524259,-1.9295714638486183,0.9829235496888309,0.6697137594516944,0.4561260979364053,0.2833682159483728,-0.526797451752426,-0.32683946046388673
1783424401.270055,0.26012325286865234,1783424400.5589802,1783424400.5589802,70.0,1.2217304763960306,69.85779461030764,0.0,-0.060425196153328475,-0.004793721251189709,-0.0010546186240389943,0.0,0.0010652616620063782,2.1223344802856445,0.4550013542175293,0.2742583800332029,1.1668829707110078,0.0795707551001481,-3.1425305925715974,3.1425305925715974,0.0,1.0,2.2240822315216064,0.5623595714569092,0.27508200837729646,1.272113618062759,0.00515717306983245,2.886741376113262,2.886741376113262,0.0,1.0,1.1668829707110078,0.09628025983652798,1.272113618062759,0.0030289050041114266,near_static,near_static,-5.829716720767623,-6.151172743865104,-6.02927196868486,4.263584188787631,15.429141900551587,-0.8236283440935521,2.1223344802856445,0.060720086097717285,0.0,0.4550013542175293,0.07510115951299667,0.0,2.2240822315216064,0.0031957949977368116,0.0,0.5623595714569092,-0.0015978955198079348,0.0,18.99999409871968,47.00004385895252,1.0,1.0,1.0,-1.0,0.456126097936405,-1.259857704396924,-0.5267974517524259,-1.9295714638486183,0.9829235496888309,0.6697137594516944,0.4561260979364054,-0.5267974517524259,-10.495728982221038,-10.931030990846008,0.9829235496888313,0.456126097936405,-1.259857704396924,-0.5267974517524259,-1.9295714638486183,0.9829235496888309,0.6697137594516944,0.4561260979364053,0.2833682159483728,-0.526797451752426,-0.32683946046388673
