host_time_sec,elapsed_sec,state_stamp_sec,raw_state_stamp_sec,body_roll,body_pitch,body_roll_rate,body_pitch_rate,left_hip_absolute,left_calf_absolute,left_leg_length,left_phi,left_phi_rate,right_hip_absolute,right_calf_absolute,right_leg_length,right_phi,right_phi_rate,left_phi_raw,left_phi_rate_raw,right_phi_raw,right_phi_rate_raw,left_right_hip_absolute_diff_deg,left_right_calf_absolute_diff_deg,left_right_phi_diff_deg,left_right_phi_rate_diff_deg_s,left_right_leg_length_diff_mm,raw_left_hip_pos,raw_left_hip_vel,raw_left_hip_effort,raw_left_knee_pos,raw_left_knee_vel,raw_left_knee_effort,raw_right_hip_pos,raw_right_hip_vel,raw_right_hip_effort,raw_right_knee_pos,raw_right_knee_vel,raw_right_knee_effort,cmd_left_hip,cmd_left_knee,cmd_right_hip,cmd_right_knee,left_right_cmd_hip_diff_nm,left_right_cmd_knee_diff_nm,lqr_left_hip_torque,lqr_right_hip_torque,left_leg_length_force,right_leg_length_force,left_right_lqr_hip_diff_nm,vmc_left_hip_torque,vmc_left_knee_torque,vmc_right_hip_torque,vmc_right_knee_torque,left_right_vmc_hip_diff_nm,left_right_vmc_knee_diff_nm,vmc_column_left_hip,vmc_column_left_knee,vmc_column_right_hip,vmc_column_right_knee
1783422509.9459403,0.10193014144897461,1783422509.6336133,1783422509.6336133,-0.0031638559885323048,0.000958744203671813,0.0,0.0,2.451582193374634,0.9140686988830566,0.29278048383258276,1.5757631690557328,0.002355333077128671,2.6046764850616455,1.2541956901550293,0.3173744486519883,1.8406898719913305,-0.0005338514180537827,1.5757631690557328,0.0018274160235667112,1.8406898719913305,-0.007215464748546276,-8.771656781210535,-19.48784109836702,-15.179181958525866,0.16553807780858992,-24.59396481940551,2.451558828353882,-0.019174762070178986,0.0,0.9140686988830566,-0.006391587667167187,0.0,2.6046764850616455,0.011185277253389359,0.0,1.2542572021484375,0.015978967770934105,0.0,1.297598752248558,-1.6554592078671688,-1.7502872023913159,-4.397087367308542,3.0478859546398738,2.741628159441373,1.297598752248558,-1.7502872023913172,-17.66499220159467,-27.012521288794737,3.047885954639875,1.297598752248558,-1.6554592078671688,-1.7502872023913159,-4.397087367308542,3.0478859546398738,2.741628159441373,1.2975987522485577,0.7867374410639913,-1.7502872023913167,-1.0334804426410538
1783422509.9514468,0.1074366569519043,1783422509.638593,1783422509.638593,-0.0031638559885323048,0.000958744203671813,0.0,0.0,2.451582193374634,0.9140652418136597,0.2927800058844299,1.5757610730170095,0.0012448301517239448,2.6046218872070312,1.2541956901550293,0.31738124733591844,1.8406675123013816,-0.0021164103814545854,1.5757610730170095,-0.00042092423638314465,1.8406675123013816,-0.00449024882655579,-8.76852855457067,-19.48803917385295,-15.178020936833112,0.19258489647943233,-24.601241451488566,2.451582193374634,0.01118527539074421,0.0,0.9140652418136597,0.01757686212658882,0.0,2.6046218872070312,0.0,0.0,1.2541956901550293,0.006391587201505899,0.0,1.2980830896025737,-1.6541545368052357,-1.7411660378983331,-4.390027107658476,3.0392491275009066,2.73587257085324,1.2999984147543178,-1.7378699364494883,-17.656434670356123,-27.010171744941267,3.037868351203806,1.2999984147543175,-1.65285079871733,-1.7378699364494872,-4.389478046804723,3.0378683512038047,2.736627248087393,1.2999984147543178,0.78819586316129,-1.7378699364494883,-1.026149355151651
1783422509.9549115,0.1109013557434082,1783422509.6436138,1783422509.6436138,-0.0031638559885323048,0.000958744203671813,0.0,0.0,2.4515721797943115,0.9140652418136597,0.29278139028368205,1.5757571307179692,0.0004328391995996102,2.6046218872070312,1.254134178161621,0.31737358766696067,1.8406311915592826,-0.004163297964274827,1.5757571307179692,-0.0007851472285868916,1.8406311915592826,-0.00723362933850519,-8.769102290460951,-19.484514796241225,-15.176165788698643,0.2633392615532333,-24.592197383278613,2.4515721797943115,-0.0031957936007529497,0.0,0.9140652418136597,0.01757686212658882,0.0,2.6046218872070312,0.0,0.0,1.254134178161621,-0.01438107155263424,0.0,1.301433613941072,-1.6522701695168784,-1.7334194691301286,-4.385259321168037,3.0348530830712006,2.732989151651158,1.3014336139410718,-1.733419469130129,-17.65860887299641,-26.996311407623445,3.0348530830712006,1.301433613941072,-1.6522701695168784,-1.7334194691301286,-4.385259321168037,3.0348530830712006,2.732989151651158,1.3014336139410718,0.7890647236133066,-1.733419469130129,-1.0235290843859783
1783422509.9594138,0.11540365219116211,1783422509.6486044,1783422509.6436138,-0.0031638559885323048,0.000958744203671813,0.0,0.0,2.4515721797943115,0.9140421152114868,0.29277819297005037,1.5757431089340712,-0.0008642107564892732,2.6046550273895264,1.254134178161621,0.3173694608257197,1.840644763478684,-0.0014101233328984357,1.5757571307179692,-0.0007851472285868916,1.8406311915592826,-0.00723362933850519,-8.771001083050214,-19.485839852940206,-15.177746791438835,0.03127848661135808,-24.59126785566934,2.4515721797943115,-0.0031957936007529497,0.0,0.9140652418136597,0.01757686212658882,0.0,2.6046218872070312,0.0,0.0,1.254134178161621,-0.01438107155263424,0.0,1.301433613941072,-1.6522701695168784,-1.7334194691301286,-4.385259321168037,3.0348530830712006,2.732989151651158,1.3014336139410718,-1.733419469130129,-17.65860887299641,-26.996311407623445,3.0348530830712006,1.301433613941072,-1.6522701695168784,-1.7334194691301286,-4.385259321168037,3.0348530830712006,2.732989151651158,1.3014336139410718,0.7890647236133066,-1.733419469130129,-1.0235290843859783
1783422509.9631977,0.11918759346008301,1783422509.6536365,1783422509.6536365,-0.0031638559885323048,0.000958744203671813,0.0,0.0,2.4515459537506104,0.9140421152114868,0.2927818187867923,1.5757327838783388,-0.0013392290181350594,2.6046550273895264,1.254223346710205,0.31738056450900276,1.8406974145991684,0.003338979399645607,1.5757327838783388,-0.002051756410603739,1.8406974145991684,0.010462633498461672,-8.772503724667617,-19.490948834439376,-15.181355060545929,-0.26804159802140676,-24.598745722210435,2.4515459537506104,-0.006391586735844612,0.0,0.9140421152114868,-1.3969838619232178e-09,0.0,2.6046550273895264,0.007989483885467052,0.0,1.254223346710205,-0.003195793367922306,0.0,1.3037844461289387,-1.6500942566309729,-1.738897434410299,-4.387988588294365,3.042681880539238,2.7378943316633926,1.3037844461289385,-1.7388974344103,-17.65299522167092,-26.99166948603648,3.042681880539239,1.3037844461289387,-1.6500942566309729,-1.738897434410299,-4.387988588294365,3.042681880539238,2.7378943316633926,1.3037844461289385,0.7904930703054266,-1.7388974344103,-1.0267677399622404
1783422509.9692605,0.12525033950805664,1783422509.6586134,1783422509.6536365,-0.0031638559885323048,0.000958744203671813,0.0,0.0,2.4515459537506104,0.9140191078186035,0.29277863795923814,1.5757188343789745,-0.0019247109469856453,2.604626417160034,1.254223346710205,0.3173841270588245,1.8406856976577146,0.001061653148895324,1.5757327838783388,-0.002051756410603739,1.8406974145991684,0.010462633498461672,-8.770864479266814,-19.49226706094919,-15.18148297669172,-0.17110605878338145,-24.605489099586375,2.4515459537506104,-0.006391586735844612,0.0,0.9140421152114868,-1.3969838619232178e-09,0.0,2.6046550273895264,0.007989483885467052,0.0,1.254223346710205,-0.003195793367922306,0.0,1.3037844461289387,-1.6500942566309729,-1.738897434410299,-4.387988588294365,3.042681880539238,2.7378943316633926,1.3047254014627376,-1.7488058997900697,-17.65962463242523,-27.01210583548655,3.053531301252807,1.3047254014627383,-1.6504113560977045,-1.7488058997900686,-4.396188221203661,3.053531301252807,2.745776865105957,1.3047254014627374,0.7910601423742036,-1.7488058997900697,-1.032607326787805
1783422509.9745755,0.13056516647338867,1783422509.6636221,1783422509.6636221,-0.0031638559885323048,0.000958744203671813,0.0,0.0,2.451446056365967,0.9140191078186035,0.2927924487451854,1.5756795049013548,-0.0042957211854504195,2.604626417160034,1.2542062997817993,0.31738200438045333,1.840675632080588,-0.00016685598584857035,1.5756795049013548,-0.00785223654314758,1.840675632080588,-0.002009619687964412,-8.776588177791284,-19.491290343897877,-15.183159674682065,-0.23656655011562622,-24.589555635267935,2.451446056365967,-0.023968452587723732,0.0,0.9140191078186035,-0.011185277253389359,0.0,2.604626417160034,0.003195792669430375,0.0,1.2542062997817993,0.009587380103766918,0.0,1.3058614256487784,-1.648935932006687,-1.7442696943921008,-4.393838631408548,3.050131120040879,2.7449026994018615,1.3104042459432463,-1.7417534401055081,-17.676273840959258,-27.00880135127862,3.0521576860487545,1.3104042459432472,-1.6491851575102716,-1.7417534401055095,-4.391587118675828,3.0521576860487567,2.742401961165556,1.3104042459432466,0.7944931335241572,-1.7417534401055081,-1.02844167195559
1783422509.978003,0.13399291038513184,1783422509.6685908,1783422509.6685908,-0.0031638559885323048,0.000958744203671813,0.0,0.0,2.451446056365967,0.9139411449432373,0.29278167045886855,1.5756322360000876,-0.006382809710511314,2.6046242713928223,1.2542062997817993,0.3173822715719648,1.840674753310233,-0.00017085888929720003,1.5756322360000876,-0.009513442498102655,1.840674753310233,-0.00017686324447014454,-8.776465234386224,-19.495757287615067,-15.185817633394395,-0.35591856459839455,-24.600601113096253,2.451446056365967,-0.023968452587723732,0.0,0.9139411449432373,-0.01438107155263424,0.0,2.6046242713928223,0.0,0.0,1.2542062997817993,0.009587380103766918,0.0,1.3104042459432472,-1.6491851575102716,-1.7417534401055095,-4.391587118675828,3.0521576860487567,2.742401961165556,1.3144294673753751,-1.7417367901144927,-17.654190430011038,-27.008016039655118,3.056166257489868,1.3104042459432472,-1.6491851575102716,-1.7417534401055095,-4.391587118675828,3.0521576860487567,2.742401961165556,1.3104042459432466,0.7944931335241572,-1.7417534401055081,-1.02844167195559
1783422509.9856553,0.14164495468139648,1783422509.6736505,1783422509.6736505,-0.0031638559885323048,0.000958744203671813,0.0,0.0,2.451524257659912,0.9139411449432373,0.29277085878469417,1.575663023226535,-0.0013957778621757314,2.6046242713928223,1.254203200340271,0.317381885628557,1.8406729232035568,-0.0002471958302785102,1.575663023226535,0.0060847699103276425,1.8406729232035568,-0.0003617012417504755,-8.771984630290696,-19.495579702696645,-15.183948797867444,-0.06580890285227127,-24.61102684386285,2.451524257659912,-0.004793691448867321,0.0,0.9139411449432373,-0.01438107155263424,0.0,2.6046242713928223,0.0,0.0,1.254203200340271,0.0015978968003764749,0.0,1.3144294673753756,-1.6437776376892257,-1.7417367901144933,-4.391474787111036,3.0561662574898687,2.7476971494218096,1.3144294673753751,-1.7417367901144927,-17.654190430011038,-27.008016039655118,3.056166257489868,1.3144294673753756,-1.6437776376892257,-1.7417367901144933,-4.391474787111036,3.0561662574898687,2.7476971494218096,1.3144294673753751,0.796943897280991,-1.7417367901144931,-1.0284315754524689
1783422509.9887867,0.1447765827178955,1783422509.678623,1783422509.6736505,-0.0031638559885323048,0.000958744203671813,0.0,0.0,2.451524257659912,0.9139580726623535,0.292773199152847,1.5756732866895573,-1.184178426923946e-05,2.604573965072632,1.254203200340271,0.3173881496958134,1.840652320838212,-0.0018056359365128992,1.575663023226535,0.0060847699103276425,1.8406729232035568,-0.0003617012417504755,-8.769102290460951,-19.494609815834504,-15.182180316170829,0.10277683423880915,-24.61495054296642,2.451524257659912,-0.004793691448867321,0.0,0.9139411449432373,-0.01438107155263424,0.0,2.6046242713928223,0.0,0.0,1.254203200340271,0.0015978968003764749,0.0,1.305531493129772,-1.6470362135128283,-1.741564516756481,-4.391189003159134,3.047096009886253,2.744152789646306,1.3055314931297717,-1.7415645167564797,-17.638115067305502,-27.006483193941826,3.0470960098862516,1.305531493129772,-1.6470362135128283,-1.741564516756481,-4.391189003159134,3.047096009886253,2.744152789646306,1.305531493129772,0.7915592699283939,-1.7415645167564793,-1.0283302375276173
