host_time_sec,elapsed_sec,stm_tick_ms,stm_time_sec,body_distance,body_velocity,body_roll,body_roll_rate,body_pitch,body_pitch_rate,body_yaw_rate,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,left_hip_pos,left_knee_pos,left_wheel_pos,right_hip_pos,right_knee_pos,right_wheel_pos,left_hip_vel,left_knee_vel,left_wheel_vel,right_hip_vel,right_knee_vel,right_wheel_vel,left_hip_effort,left_knee_effort,left_wheel_effort,right_hip_effort,right_knee_effort,right_wheel_effort,left_hip_absolute,left_calf_absolute,left_leg_length,right_leg_length,right_hip_absolute,right_calf_absolute,left_phi,right_phi,left_phi_rate_raw,right_phi_rate_raw,left_phi_rate_lpf,right_phi_rate_lpf,left_length_rate_raw,right_length_rate_raw,left_length_rate_lpf,right_length_rate_lpf,online_mask,safety_state,last_command_timeout,knee_limit_flag,comm_rx_error_count,comm_crc_error_count,can_error_count
1782556446.121637,0.0,1782556445857,1782556445.8573644,-0.02303964667179275,0.0,-0.001917488407343626,0.0,-0.0023968606255948544,0.0,0.0,-0.001917488407343626,-0.0023968606255948544,0.01460474729537964,0.0,0.0,0.0,0.10534892231225967,0.03830869868397713,9.797449111938477,2.1544711589813232,0.8179701566696167,-0.1514153629541397,1.9261374473571777,0.8140225410461426,-0.9581784605979919,0.01438107155263424,-0.0031957924365997314,0.0,0.006391587201505899,0.0031957936007529497,0.0,0.0,0.0,-0.021097276359796524,0.0,0.0,-0.1406485140323639,2.1544711589813232,0.8179701566696167,0.31910776749816816,0.34480293298810616,1.9261374473571777,0.8140225410461426,1.3987322825303063,1.3011371199745676,0.0001772176660016757,0.0001606444563685742,0.0001772176660016757,0.0001606444563685742,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1
1782556446.1221197,0.0004825592041015625,1782556445862,1782556445.8624055,-0.02303964667179275,0.0,-0.001917488407343626,0.0,-0.0023968606255948544,0.0,0.0,-0.001917488407343626,-0.0023968606255948544,0.01460474729537964,0.0,0.0,0.0,0.04309728369116783,0.009577174670994282,9.83096981048584,2.1543939113616943,0.8180623054504395,-0.1514153629541397,1.9261374473571777,0.8140261173248291,-0.9581784605979919,-0.007989484816789627,0.01757686585187912,0.0,0.006391587201505899,0.004793689586222172,0.0,0.0,0.0,0.00703242514282465,0.0,0.0,0.1125188022851944,2.1543939113616943,0.8180623054504395,0.31912867817004636,0.344803309632502,1.9261374473571777,0.8140261173248291,1.398754890992471,1.3011391822249454,0.0003926077482479004,0.0001730674788053213,0.0003926077482479004,0.0001730674788053213,0.004148019045660332,7.471439160251192e-05,0.0004148019045660331,7.471439160251191e-06,-1,-1,-1,-1,-1,-1,-1
1782556446.1240537,0.0024166107177734375,1782556445867,1782556445.8673959,-0.02303964667179275,0.0,-0.001917488407343626,0.0,-0.0023968606255948544,0.0,0.0,-0.001917488407343626,-0.0023968606255948544,0.01460474729537964,0.0,0.0,0.0,-0.023942934349179268,0.009577174670994282,9.787872314453125,2.1543939113616943,0.8180623054504395,-0.1514153629541397,1.9260852336883545,0.8140261173248291,-0.9581784605979919,-0.007989484816789627,0.01757686585187912,0.0,-0.003195794066414237,0.004793689586222172,0.0,0.0,0.0,-0.0562594011425972,0.0,0.0,-0.40084823966026306,2.1543939113616943,0.8180623054504395,0.31912867817004636,0.34480880851807943,1.9260852336883545,0.8140261173248291,1.398754890992471,1.301117077343442,0.00037297736083550533,-5.705205438738241e-05,0.00037297736083550533,-5.705205438738241e-05,0.0,0.001101906157039221,0.0003733217141094298,0.00011691491094814814,-1,-1,-1,-1,-1,-1,-1
1782556446.1244407,0.0028035640716552734,1782556445872,1782556445.8723931,-0.02303964667179275,0.0,-0.001917488407343626,0.0,-0.0023968606255948544,0.0,0.0,-0.001917488407343626,-0.0023968606255948544,0.01460474729537964,0.0,0.0,0.0,-0.023942934349179268,-0.09098315238952637,9.83096981048584,2.154346466064453,0.8180623054504395,-0.1514153629541397,1.9260852336883545,0.8139997720718384,-0.9581784605979919,-0.009587381035089493,0.01757686585187912,0.0,-0.003195794066414237,-0.004793690983206034,0.0,0.0,0.0,-0.021097276359796524,0.0,0.0,0.1125188022851944,2.154346466064453,0.8180623054504395,0.31913453452677326,0.34480603399490756,1.9260852336883545,0.8139997720718384,1.398735413474655,1.3011018854826892,0.00015943696436800168,-0.00020620880879994538,0.00015943696436800168,-0.00020620880879994538,0.0011719150975691367,-0.0005552096201288194,0.0004531810524554005,4.97024578404514e-05,-1,-1,-1,-1,-1,-1,-1
1782556446.1251245,0.0034873485565185547,1782556445877,1782556445.8773983,-0.02303964667179275,0.0,-0.001917488407343626,0.0,-0.0023968606255948544,0.0,0.0,-0.001917488407343626,-0.0023968606255948544,0.01460474729537964,0.0,0.0,0.0,0.07661739736795425,-0.004788587335497141,9.735198020935059,2.154346466064453,0.8178756237030029,-0.1514153629541397,1.926143765449524,0.8139997720718384,-0.9581784605979919,-0.009587381035089493,-0.012783176265656948,0.0,0.009587380103766918,-0.004793690983206034,0.0,0.0,0.0,-0.5203995108604431,0.0,0.0,-0.40084823966026306,2.154346466064453,0.8178756237030029,0.3191114906722665,0.3447998695737003,1.926143765449524,0.8139997720718384,1.3986253684982006,1.3011266650749322,-0.0009478063064534456,5.16322186249383e-05,-0.0009478063064534456,5.16322186249383e-05,-0.004604055215217088,-0.0012316227565056224,-5.254257431184828e-05,-7.843006359415594e-05,-1,-1,-1,-1,-1,-1,-1
1782556446.1293356,0.007698535919189453,1782556445882,1782556445.882396,-0.02303964667179275,0.0,-0.001917488407343626,0.0,-0.0023968606255948544,0.0,0.0,-0.001917488407343626,-0.0023968606255948544,0.01460474729537964,0.0,0.0,0.0,-0.004788587335497141,-0.05267446115612984,9.874066352844238,2.1544456481933594,0.8178756237030029,-0.1514153629541397,1.926143765449524,0.8140097856521606,-0.9581784605979919,0.006391587201505899,-0.012783176265656948,0.0,0.009587380103766918,-0.001597898080945015,0.0,0.0,0.0,0.43601036071777344,0.0,0.0,0.1125188022851944,2.1544456481933594,0.8178756237030029,0.3190992466101224,0.3448009241998129,1.926143765449524,0.8140097856521606,1.3986660838599752,1.3011324393881187,-0.0004930774624781349,0.00010681996389861137,-0.0004930774624781349,0.00010681996389861137,-0.002449924569569781,0.00021102101529482174,-0.0002922807738376415,-4.9484955705258167e-05,-1,-1,-1,-1,-1,-1,-1
1782556446.1337528,0.012115716934204102,1782556445887,1782556445.887372,-0.02303964667179275,0.0,-0.001917488407343626,0.0,-0.0023968606255948544,0.0,0.0,-0.001917488407343626,-0.0023968606255948544,0.01460474729537964,0.0,0.0,0.0,0.09577173739671707,0.019154349341988564,9.778294563293457,2.1544456481933594,0.8179402351379395,-0.1514153629541397,1.9261119365692139,0.8140097856521606,-0.9581784605979919,0.006391587201505899,-0.009587381035089493,0.0,0.004793689586222172,-0.001597898080945015,0.0,0.0,0.0,-0.09142152965068817,0.0,0.0,0.6329182386398315,2.1544456481933594,0.8179402351379395,0.31910722299646394,0.3448042763481902,1.9261119365692139,0.8140097856521606,1.3987041716630075,1.3011189645435433,-8.571115437282944e-05,-3.391846255157175e-05,-8.571115437282944e-05,-3.391846255157175e-05,0.0016029605259856013,0.0006736586338746137,-0.00010275664385531728,2.2829403252729e-05,-1,-1,-1,-1,-1,-1,-1
1782556446.140267,0.018629789352416992,1782556445892,1782556445.8923905,-0.02303964667179275,0.0,-0.001917488407343626,0.0,-0.0023968606255948544,0.0,0.0,-0.001917488407343626,-0.0023968606255948544,0.01460474729537964,0.0,0.0,0.0,-0.033520109951496124,-0.033520109951496124,9.83096981048584,2.154503583908081,0.8179402351379395,-0.1514153629541397,1.9261119365692139,0.8140761852264404,-0.9581784605979919,0.02556634694337845,-0.009587381035089493,0.0,0.004793689586222172,0.02077265828847885,0.0,0.0,0.0,0.40084823966026306,0.0,0.0,0.1125188022851944,2.154503583908081,0.8179402351379395,0.31910007075353336,0.3448112691322792,1.9261119365692139,0.8140761852264404,1.3987279548592493,1.3011572535215805,0.00015551966493615427,0.0003492397259859611,0.00015551966493615427,0.0003492397259859611,-0.0014251831979040176,0.0013934088211139013,-0.00023499929926018727,0.0001598873450388462,-1,-1,-1,-1,-1,-1,-1
1782556446.1445472,0.022910118103027344,1782556445897,1782556445.8973615,-0.02303964667179275,0.0,-0.001917488407343626,0.0,-0.0023968606255948544,0.0,0.0,-0.001917488407343626,-0.0023968606255948544,0.01460474729537964,0.0,0.0,0.0,0.05267446115612984,-0.05746304616332054,9.735198020935059,2.154503583908081,0.8180745840072632,-0.1514153629541397,1.9261020421981812,0.8140761852264404,-0.9581784605979919,0.02556634694337845,0.033555831760168076,0.0,0.0,0.02077265828847885,0.0,0.0,0.0,-0.0562594011425972,0.0,0.0,-0.40084823966026306,2.154503583908081,0.8180745840072632,0.3191166559081475,0.3448123111132174,1.9261020421981812,0.8140761852264404,1.398807151804937,1.3011530646717946,0.0009443289720627195,0.00028964510320584344,0.0009443289720627195,0.00028964510320584344,0.003336363565400064,0.000209610782590487,0.00012213698720583779,0.00016485968879401027,-1,-1,-1,-1,-1,-1,-1
1782556446.1496668,0.028029680252075195,1782556445902,1782556445.9023926,-0.02303964667179275,0.0,-0.001917488407343626,0.0,-0.0023968606255948544,0.0,0.0,-0.001917488407343626,-0.0023968606255948544,0.01460474729537964,0.0,0.0,0.0,-0.04309728369116783,-0.023942934349179268,9.850123405456543,2.1544835567474365,0.8180745840072632,-0.1514153629541397,1.9261020421981812,0.8140426874160767,-0.9581784605979919,-0.0015978955198079348,0.033555831760168076,0.0,0.0,0.004793690051883459,0.0,0.0,0.0,-0.09142152965068817,0.0,0.0,0.1125188022851944,2.1544835567474365,0.8180745840072632,0.3191191281099571,0.3448087834095344,1.9261020421981812,0.8140426874160767,1.3987989302931463,1.3011337483705114,0.000815401894129782,8.318512249427728e-05,0.000815401894129782,8.318512249427728e-05,0.000491383088750509,-0.000701178166450483,0.00015906159736030489,7.825590326956097e-05,-1,-1,-1,-1,-1,-1,-1
1782556446.1541696,0.032532453536987305,1782556445907,1782556445.9073727,-0.02303964667179275,0.0,-0.001917488407343626,0.0,-0.0023968606255948544,0.0,0.0,-0.001917488407343626,-0.0023968606255948544,0.01460474729537964,0.0,0.0,0.0,0.08619456738233566,-0.04309728369116783,9.7926607131958,2.1544835567474365,0.8179782629013062,-0.1514153629541397,1.9261128902435303,0.8140426874160767,-0.9581784605979919,-0.0015978955198079348,-0.0063915858045220375,0.0,-0.0015978968003764749,0.004793690051883459,0.0,0.0,0.0,-0.0562594011425972,0.0,0.0,-0.1406485140323639,2.1544835567474365,0.8179782629013062,0.31910723771274596,0.3448076409656745,1.9261128902435303,0.8140426874160767,1.3987421504895168,1.3011383409476005,0.000204563440838365,0.00012513526998644668,0.000204563440838365,0.00012513526998644668,-0.0023875881168208923,-0.00022940237702823583,-9.560337405781479e-05,4.749007523978129e-05,-1,-1,-1,-1,-1,-1,-1
