host_time_sec,elapsed_sec,stm_tick_ms,stm_time_sec,body_distance_raw,body_distance,body_velocity_raw,body_velocity,body_roll,body_roll_rate,body_pitch,body_pitch_rate,body_yaw_rate,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,left_hip_pos,left_knee_pos,left_wheel_pos,right_hip_pos,right_knee_pos,right_wheel_pos,left_hip_vel_raw,left_hip_vel,left_knee_vel_raw,left_knee_vel,left_wheel_vel_raw,left_wheel_vel,right_hip_vel_raw,right_hip_vel,right_knee_vel_raw,right_knee_vel,right_wheel_vel_raw,right_wheel_vel,left_hip_effort,left_knee_effort,left_wheel_effort,right_hip_effort,right_knee_effort,right_wheel_effort,left_hip_absolute,left_calf_absolute,left_leg_length,right_leg_length,right_hip_absolute,right_calf_absolute,left_phi,right_phi,left_phi_rate_raw,right_phi_rate_raw,left_phi_rate_lpf,right_phi_rate_lpf,left_length_rate_raw,right_length_rate_raw,left_length_rate_lpf,right_length_rate_lpf,online_mask,safety_state,last_command_timeout,knee_limit_flag,comm_rx_error_count,comm_crc_error_count,can_error_count
1782557694.942824,0.0,1782557694801,1782557694.801071,-6.1690698930361165e-06,-6.144286328073307e-06,0.0,-5e-324,-0.001917488407343626,0.0,-0.002300986321642995,0.0,0.0,-0.001917488407343626,-0.002300986321642995,0.01667669415473938,0.0,0.0,0.0,-0.004788587335497141,0.009577174670994282,9.778294563293457,2.2275619506835938,0.8758435249328613,-0.30327004194259644,2.1683859825134277,0.9470425844192505,-0.9618929028511047,0.009587381035089493,0.005209951089730831,0.007989483885467052,-8.933373034501193e-05,0.0,-5e-324,0.01757686585187912,0.003295518510916016,0.012783175334334373,-0.004532949806147199,0.0,0.0,0.0,0.0,-0.1687782108783722,0.0,0.0,0.13361608982086182,2.2275619506835938,0.8758435249328613,0.31722027389406987,0.3328033834530062,2.1683859825134277,0.9470425844192505,1.4628445021460126,1.480101704304388,0.001984452442025161,0.02613540125181317,0.0001380312685944229,0.008791630109609769,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1
1782557694.948927,0.006103038787841797,1782557694806,1782557694.806046,-6.1690698930361165e-06,-6.144286328073307e-06,0.0,-5e-324,-0.001917488407343626,0.0,-0.002300986321642995,0.0,0.0,-0.001917488407343626,-0.002300986321642995,0.01667669415473938,0.0,0.0,0.0,0.062251631170511246,-0.08140598237514496,9.76392936706543,2.227588415145874,0.8758435249328613,-0.30327004194259644,2.1683859825134277,0.9470425844192505,-0.9618929028511047,0.001597897382453084,0.0036567679956014,0.007989483885467052,0.0029806169636635723,0.0,-5e-324,0.01757686585187912,0.00943649786753015,0.012783175334334373,0.0020471777472357987,0.0,0.0,0.0,0.0,0.2742646038532257,0.0,0.0,0.13361608982086182,2.227588415145874,0.8758435249328613,0.31721697586682557,0.3328033834530062,2.1683859825134277,0.9470425844192505,1.4628553378450047,1.480101704304388,0.0021779947105596805,0.0,0.0010152155486394838,0.005011229162477568,0.00041876395781833864,0.0003923318852239012,8.110599879543011e-05,3.940655842631159e-05,-1,-1,-1,-1,-1,-1,-1
1782557694.95223,0.009406089782714844,1782557694811,1782557694.8110676,-6.1690698930361165e-06,-6.144286328073307e-06,0.0,-5e-324,-0.001917488407343626,0.0,-0.002300986321642995,0.0,0.0,-0.001917488407343626,-0.002300986321642995,0.01667669415473938,0.0,0.0,0.0,0.02873152308166027,0.07661739736795425,9.821392059326172,2.227588415145874,0.8758349418640137,-0.30327004194259644,2.1682584285736084,0.9468512535095215,-0.9618929028511047,0.001597897382453084,0.002771453631947624,-0.0031957931350916624,0.0006335811261365832,0.0,-5e-324,-0.012783174403011799,-0.0001179612088028888,-0.033555831760168076,-0.011481965865577674,0.0,0.0,0.0,0.0,0.5696264505386353,0.0,0.0,-0.7595019340515137,2.227588415145874,0.8758349418640137,0.31721590622483115,0.33279609113548203,2.1682584285736084,0.9468512535095215,1.4628502690462093,1.479937014584701,-0.0010094526880287862,-0.03279800342063277,0.00014460820687212756,-0.011246740848259879,-0.0006629093239511366,0.0,-0.00011977813834614291,2.876678765120746e-05,-1,-1,-1,-1,-1,-1,-1
1782557694.9592466,0.016422748565673828,1782557694816,1782557694.8160427,-6.1690698930361165e-06,-6.144286328073307e-06,0.0,-5e-324,-0.001917488407343626,0.0,-0.002300986321642995,0.0,0.0,-0.001917488407343626,-0.002300986321642995,0.01667669415473938,0.0,0.0,0.0,0.02873152308166027,0.07661739736795425,9.821392059326172,2.227588415145874,0.8758349418640137,-0.30327004194259644,2.1682584285736084,0.9468512535095215,-0.9618929028511047,0.001597897382453084,0.002771453631947624,-0.0031957931350916624,0.0006335811261365832,0.0,-5e-324,-0.012783174403011799,-0.0001179612088028888,-0.033555831760168076,-0.011481965865577674,0.0,0.0,0.0,0.0,0.5696264505386353,0.0,0.0,-0.7595019340515137,2.2275149822235107,0.8758349418640137,0.31722505742370305,0.33279609113548203,2.1682584285736084,0.9468512535095215,1.4628202023441257,1.479937014584701,-0.0060431708269162564,0.0,-0.002516136777656878,-0.00641064228350813,-0.00021301950029786493,-0.0014522670604851767,-0.00014495330607310785,-0.0003711123513456163,-1,-1,-1,-1,-1,-1,-1
1782557694.962643,0.019819021224975586,1782557694821,1782557694.821032,-6.1690698930361165e-06,-6.144286328073307e-06,0.0,-5e-324,-0.001917488407343626,0.0,-0.002300986321642995,0.0,0.0,-0.001917488407343626,-0.002300986321642995,0.01667669415473938,0.0,0.0,0.0,0.023942934349179268,-1.206723928451538,9.7926607131958,2.2275149822235107,0.8758349418640137,-0.30327004194259644,2.1682584285736084,0.9468512535095215,-0.9618929028511047,-0.006391588132828474,-0.0011686543269060986,-0.0031957931350916624,-0.0008215810931301501,0.0,-5e-324,-0.012783174403011799,-0.0055640028823127205,-0.033555831760168076,-0.019870034905522027,0.0,0.0,0.0,0.0,0.5696264505386353,0.0,0.0,-0.3023942708969116,2.2275149822235107,0.8757457733154297,0.31721394519983237,0.3328021839916269,2.1683108806610107,0.946956992149353,1.46276754331244,1.4800204941525792,-0.01055421165169765,0.016731432382544827,-0.005972508973494411,0.0035404498228946424,0.0018393190546876696,0.0,0.0003908002313323021,-0.0002709120164822999,-1,-1,-1,-1,-1,-1,-1
1782557694.9674325,0.024608612060546875,1782557694826,1782557694.8260512,-6.1690698930361165e-06,-6.144286328073307e-06,0.0,-5e-324,-0.001917488407343626,0.0,-0.002300986321642995,0.0,0.0,-0.001917488407343626,-0.002300986321642995,0.01667669415473938,0.0,0.0,0.0,0.1292918473482132,1.1492609977722168,9.773506164550781,2.2276294231414795,0.8757457733154297,-0.30327004194259644,2.1683108806610107,0.946956992149353,-0.9618929028511047,0.009587380103766918,0.0021762994024517243,-0.015978969633579254,-0.010152469478630619,0.0,-5e-324,-0.006391587201505899,-0.006122705056200035,-0.012783174403011799,-0.015507363580176733,0.0,0.0,0.0,0.0,-0.4641400873661041,0.0,0.0,0.11955123394727707,2.2276294231414795,0.8757457733154297,0.317199682628514,0.3328021839916269,2.1683108806610107,0.946956992149353,1.462814399617402,1.4800204941525792,0.00933543546107597,0.0,0.0006099071333708541,0.002018056399049946,-0.0022271727925496612,0.0012211636115992722,-0.0003160524851158281,0.0001319484030997246,-1,-1,-1,-1,-1,-1,-1
1782557694.9713628,0.028538942337036133,1782557694831,1782557694.8310678,-6.1690698930361165e-06,-6.144286328073307e-06,0.0,-5e-324,-0.001917488407343626,0.0,-0.002300986321642995,0.0,0.0,-0.001917488407343626,-0.002300986321642995,0.01667669415473938,0.0,0.0,0.0,-0.09577173739671707,-1.1875696182250977,9.725621223449707,2.2276294231414795,0.8757457733154297,-0.30327004194259644,2.1683108806610107,0.946956992149353,-0.9618929028511047,0.009587380103766918,0.0021762994024517243,0.023968450725078583,-0.010152469478630619,0.0,-5e-324,0.0031957936007529497,-0.006122705056200035,-0.006391587667167187,-0.015507363580176733,0.0,0.0,0.0,0.0,-0.4641400873661041,0.0,0.0,0.11955123394727707,2.2276294231414795,0.8759976625442505,0.31723107381447585,0.33279744057981286,2.1683433055877686,0.9469479322433472,1.462963154934899,1.480028763470793,0.02965423114063969,0.001648480725340092,0.013098966456496455,0.001859138859354709,-0.00284160934499899,0.0,-0.0009979528372842817,9.632233426279896e-05,-1,-1,-1,-1,-1,-1,-1
1782557694.9764173,0.03359341621398926,1782557694836,1782557694.8360224,-6.1690698930361165e-06,-6.144286328073307e-06,0.0,-5e-324,-0.001917488407343626,0.0,-0.002300986321642995,0.0,0.0,-0.001917488407343626,-0.002300986321642995,0.01667669415473938,0.0,0.0,0.0,0.033520109951496124,1.1205294132232666,9.99856948852539,2.2275311946868896,0.8759976625442505,-0.30327004194259644,2.1683433055877686,0.9469479322433472,-0.9618929028511047,-0.007989483885467052,-0.0003785315314609964,0.023968450725078583,0.010852368998772767,0.0,-5e-324,0.0031957936007529497,0.0001682133871089256,-0.006391587667167187,-0.009895691928128055,0.0,0.0,0.0,0.0,-0.4641400873661041,0.0,0.0,0.13361608982086182,2.2275311946868896,0.8759976625442505,0.31724331401806555,0.33279744057981286,2.1683433055877686,0.9469479322433472,1.4629229349027357,1.480028763470793,-0.008116972611375773,0.0,0.003976112657311396,0.001059709149832184,0.006257803081964167,-0.000945594636185587,0.0009611012609127997,-0.00018499524775826527,-1,-1,-1,-1,-1,-1,-1
1782557694.9808867,0.03806281089782715,1782557694841,1782557694.841074,-6.1690698930361165e-06,-6.144286328073307e-06,0.0,-5e-324,-0.001917488407343626,0.0,-0.002300986321642995,0.0,0.0,-0.001917488407343626,-0.002300986321642995,0.01667669415473938,0.0,0.0,0.0,0.0,0.06704021990299225,9.663369178771973,2.2275311946868896,0.8759976625442505,-0.30327004194259644,2.1683433055877686,0.9469479322433472,-0.9618929028511047,-0.007989483885467052,-0.0003785315314609964,-0.009587381035089493,0.010852368998772767,0.0,-5e-324,-0.011185278184711933,0.0001682133871089256,0.004793689586222172,-0.009895691928128055,0.0,0.0,0.0,0.0,-0.4641400873661041,0.0,0.0,0.13361608982086182,2.2275311946868896,0.8758128881454468,0.31722028874992697,0.3328159227431194,2.1682400703430176,0.947006344795227,1.4628138165490303,1.4800196512551336,-0.021601715552935632,-0.0018039081790203382,-0.0070223534730948275,-0.00017164630157440056,0.002470246589861038,0.0,0.0013685704997288242,-0.00013504653086353363,-1,-1,-1,-1,-1,-1,-1
1782557694.987023,0.044199228286743164,1782557694846,1782557694.8460593,-6.1690698930361165e-06,-6.144286328073307e-06,0.0,-5e-324,-0.001917488407343626,0.0,-0.002300986321642995,0.0,0.0,-0.001917488407343626,-0.002300986321642995,0.01667669415473938,0.0,0.0,0.0,0.10056033730506897,-0.03830869868397713,9.90279769897461,2.2275311946868896,0.8758128881454468,-0.30327004194259644,2.1682400703430176,0.947006344795227,-0.9618929028511047,-0.007989483885467052,-0.0036512410436836005,-0.009587381035089493,0.0030852639859051084,0.0,-5e-324,-0.011185278184711933,-0.004713787988774044,0.004793689586222172,-0.004313726952674969,0.0,0.0,0.0,0.0,-0.1687782108783722,0.0,0.0,0.13361608982086182,2.2275443077087402,0.8758128881454468,0.31721865459911774,0.3328159227431194,2.1682400703430176,0.947006344795227,1.4628191855954111,1.4800196512551336,0.001076968565818398,0.0,-0.00353964499636214,-9.78383918974083e-05,-0.0045582184478550536,0.003658838508764598,-0.0002316625161188229,0.0008893024298360619,-1,-1,-1,-1,-1,-1,-1
